id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
289483,Luxury villa Super Paradise Mykonos,1503262,Dimitris,,Μυκόνου (Μykonos),37.41711,25.37287,Entire home/apt,1100,2,16,2019-06-29,0.21,3,297
291278,Design studios near to the beach.,1509715,Smaro,,Ρόδου (Rhodes),36.41766,28.15804,Entire home/apt,25,7,5,2017-09-09,0.10,2,272
300028,Artistic Villa in Cyclades - Kea ,1545933,Ioanna Matilde,,Κέας (Kea),37.66416,24.33105,Entire home/apt,440,7,2,2019-08-17,0.15,1,343
304048,Mykonian Vacation villa,1564676,Demi,,Μυκόνου (Μykonos),37.43465,25.36904,Entire home/apt,400,3,14,2019-08-03,0.18,7,1
313877,"VILLA GREMOS, 17th c. village house, Koskinou.",1599748,Stelios,,Ρόδου (Rhodes),36.3851,28.21051,Entire home/apt,150,2,6,2019-07-25,0.16,3,120
316050,"VILLA MOURIA, 17th c. traditional house, Koskinou.",1599748,Stelios,,Ρόδου (Rhodes),36.38439,28.21202,Entire home/apt,130,2,14,2019-08-21,0.23,3,126
316983,Sunset by an infinity swimming pool,1627232,Evan And Associates,,Μυκόνου (Μykonos),37.46983,25.33063,Entire home/apt,1500,3,9,2019-08-14,0.15,2,364
318218,House for 5 included car and breakf,1633250,Roussetos,,Θήρας (Santorini),36.35621,25.47533,Entire home/apt,100,1,172,2019-09-12,2.01,15,191
321231,Villa Zen in the blue,1645539,Sophia,,Σύρου - Ερμούπολης (Syros),37.42142,24.95449,Entire home/apt,150,1,9,2019-06-09,0.22,1,172
328642,Kelenis Apartments Santorini,434714,Kelenis Apartments,,Θήρας (Santorini),36.41211,25.44325,Hotel room,60,1,121,2018-10-15,1.38,5,0
330194,mu perfect  house with caldera  sunset view,219945,Ioanna,,Θήρας (Santorini),36.46012,25.37222,Entire home/apt,170,2,187,2019-09-19,2.06,3,158
335210,Villa with private Pool in Oia and parking!!,1397107,Aris,,Θήρας (Santorini),36.46023,25.39303,Entire home/apt,550,1,156,2019-09-04,1.77,5,12
338444,Bella Vista 1 - Sifnos- Cyclades,1719378,Katerina,,Σίφνου (Sifnos),36.98374,24.73081,Entire home/apt,170,5,24,2019-07-14,0.27,4,89
340276,Bella Vista 2 - Sifnos - Cyclades,1719378,Katerina,,Σίφνου (Sifnos),36.98167,24.73093,Entire home/apt,170,5,12,2019-08-11,0.16,4,94
340650,Kastro Villa 1- Sifnos - Cyclades,1719378,Katerina,,Σίφνου (Sifnos),36.97527,24.74341,Entire home/apt,80,5,46,2019-08-16,0.53,4,270
341209,Villa Ilia in Mykonos Ag. Stephanos,1730998,Iliana,,Μυκόνου (Μykonos),37.47477,25.31832,Entire home/apt,428,7,7,2015-08-21,0.11,1,364
341417,Kastro Villa 2 - Sifnos - Cyclades,1719378,Katerina,,Σίφνου (Sifnos),36.97662,24.7395,Entire home/apt,100,5,44,2019-09-03,0.56,4,270
344209,Rent apartment in a former winery!,643255,Veronika And Kostas,,Θήρας (Santorini),36.41116,25.44916,Entire home/apt,80,2,62,2017-09-20,0.69,3,357
348003,Harry's Paradise - Villa Alexandra,1654334,Evdokia,,Καλυμνίων (Kalymnos),37.04764,26.9295,Entire home/apt,60,1,10,2018-10-20,0.12,8,365
350418,ATERMON 1 Villa with shared pool & tennis,1775849,Olga,,Θήρας (Santorini),36.35824,25.36564,Entire home/apt,153,2,30,2019-09-05,0.39,1,31
362071,Psarou Summer Villa I in Mykonos,1829921,Psa Athens & Psv Mykonos,,Μυκόνου (Μykonos),37.41436,25.33509,Entire home/apt,960,2,86,2019-09-04,0.98,3,292
362548,Luxurious Mykonian Windmill,1112637,Kedros Estates,,Μυκόνου (Μykonos),37.452,25.33289,Entire home/apt,305,2,1,2013-03-01,0.01,3,365
363281,Psarou Summer Villa II in Mykonos,1829921,Psa Athens & Psv Mykonos,,Μυκόνου (Μykonos),37.41288,25.33286,Entire home/apt,400,2,56,2019-09-12,0.64,3,331
369175,AGIA IRINI VILLAS,1862004,Kostas,,Πάρου (Paros),37.0512,25.10817,Entire home/apt,80,5,72,2019-09-08,0.86,6,159
369179,AGIA IRINI VILLAS 2,1862004,Kostas,,Πάρου (Paros),37.05257,25.10997,Entire home/apt,80,5,2,2018-04-26,0.03,6,187
371578,Paros Traditional house in Prodromos village,1871112,НикоРама,,Πάρου (Paros),37.04746,25.24027,Entire home/apt,89,1,48,2019-08-28,0.77,5,354
374526,Dolphin Ambassador Villa sea view,1832864,Magda,,Αντιπάρου (Antiparos),36.9742,25.03899,Entire home/apt,260,7,0,,,18,104
377055,Seaside Naxos • Dimitra • 3 Bdr Villa @ Plaka ⛱️,1895203,Athena & Takis,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.05733,25.36591,Entire home/apt,190,3,37,2019-09-26,0.47,8,184
378082,The Writer's Home - worth to experience,643340,Vici,,Σερίφου (Seriphos),37.13296,24.51402,Entire home/apt,290,7,12,2019-08-16,0.19,3,364
379736,Studio Elefteria for 2people,331438,Margarita,,Ρόδου (Rhodes),36.25774,28.14535,Entire home/apt,65,3,14,2019-06-11,0.16,9,150
379737,Elefteria Apartments at Kolymbia,331438,Margarita,,Ρόδου (Rhodes),36.25791,28.14597,Entire home/apt,100,2,22,2019-09-05,0.25,9,143
381928,Dolphin suites with sea view,1832864,Magda,,Αντιπάρου (Antiparos),36.97425,25.03992,Private room,110,7,3,2017-08-06,0.06,18,103
383419,Cycladic Villa great sea view/ September offer,218485,Yvonne,,Μήλου (Milos),36.75784,24.51111,Entire home/apt,304,2,16,2019-08-24,0.30,1,276
386079,Dolphin Premier Suite with sea view,1832864,Magda,,Αντιπάρου (Antiparos),36.97385,25.04018,Entire home/apt,260,7,1,2016-08-12,0.03,18,103
386101,Dolphin Family villa sea view,1832864,Magda,,Αντιπάρου (Antiparos),36.97265,25.03908,Entire home/apt,250,7,1,2015-08-15,0.02,18,103
386575,Harry's Paradise - Sunflowers,1654334,Evdokia,,Καλυμνίων (Kalymnos),37.04797,26.93039,Entire home/apt,48,1,9,2019-09-19,0.12,8,365
386649,"Mykonos Island Villa, Ornos Bay",1934864,Lee,,Μυκόνου (Μykonos),37.42771,25.31941,Entire home/apt,280,5,36,2019-03-26,0.41,1,365
388119,THE FISHERMANS' CAVE HOUSE,1941925,Panos,,Θήρας (Santorini),36.46158,25.37367,Entire home/apt,365,2,219,2019-09-22,2.59,5,207
388137,SUNSET CAVE HOUSE IN OIA,1941925,Panos,,Θήρας (Santorini),36.46156,25.37224,Entire home/apt,345,2,235,2019-09-21,2.75,5,172
399719,VILLA A MARE (HOUSE 1),1980652,Panayotis,,Πάρου (Paros),37.12753,25.26688,Entire home/apt,134,1,43,2019-09-20,0.49,4,348
400610,VILLA A MARE (APARTMENT 2),1980652,Panayotis,,Πάρου (Paros),37.12891,25.26835,Entire home/apt,100,1,25,2019-09-01,0.33,4,350
400612,VILLA A MARE,1980652,Panayotis,,Πάρου (Paros),37.12774,25.26709,Entire home/apt,252,1,24,2019-08-07,0.27,4,347
401063,Cycladic Villa Overlooking the Aegean Sea,2001950,Gerhard,,Σίφνου (Sifnos),36.97323,24.73892,Entire home/apt,200,12,0,,,1,348
402988,Harry's Paradise - Earth,1654334,Evdokia,,Καλυμνίων (Kalymnos),37.04636,26.92984,Entire home/apt,48,1,0,,,8,365
403001,Harry's Paradise - Gemini,1654334,Evdokia,,Καλυμνίων (Kalymnos),37.04651,26.93054,Entire home/apt,48,1,2,2015-08-21,0.03,8,365
404721,VILLA A MARE (APARTMENT 3),1980652,Panayotis,,Πάρου (Paros),37.12927,25.26818,Entire home/apt,57,1,30,2019-08-22,0.39,4,346
404804,Harry's Paradise - The Sea,1654334,Evdokia,,Καλυμνίων (Kalymnos),37.04627,26.92894,Entire home/apt,48,1,2,2019-08-19,0.04,8,365
405301,"Amazing Pool Villas, 2 min to Haraki,10 to Lindos",1411634,Kostas,,Ρόδου (Rhodes),36.17168,28.07702,Entire home/apt,100,2,11,2019-08-21,0.17,10,272
405545,Harry' Paradise - The Beach,1654334,Evdokia,,Καλυμνίων (Kalymnos),37.04741,26.92858,Entire home/apt,50,1,11,2019-05-19,0.17,8,361
406437,"Villa Icarus, Private Luxury Villa",2025031,Nikos,,Πάρου (Paros),37.0976,25.14053,Entire home/apt,500,3,1,2019-07-03,0.33,5,365
406483,Villa Hermes - Luxury Villa Paros,2025031,Nikos,,Πάρου (Paros),37.09944,25.14122,Entire home/apt,243,3,6,2019-09-22,0.44,5,365
408726,2 persons Studios @ Anny's Perissa,1996069,Vasilios,,Θήρας (Santorini),36.35173,25.47049,Entire home/apt,20,2,126,2019-09-14,1.47,8,184
410457,Peaceful haven with dreamlike views in Antiparos,1020016,Rebecca,,Αντιπάρου (Antiparos),36.99355,25.05908,Entire home/apt,300,3,13,2019-08-28,0.15,1,363
411860,Orange Suite in Mykonos Town,2049930,Apostolos,,Μυκόνου (Μykonos),37.44259,25.33154,Entire home/apt,128,2,146,2019-09-25,2.25,7,265
412042,Cyan Blue Suite in Mykonos Town,2049930,Apostolos,,Μυκόνου (Μykonos),37.44304,25.33172,Entire home/apt,190,2,112,2019-09-17,1.51,7,229
412057,Light Green Suite in Mykonos,2049930,Apostolos,,Μυκόνου (Μykonos),37.44284,25.33194,Entire home/apt,190,2,71,2019-08-30,1.34,7,193
414186,Mykonos - Kiki-Villa with sea view & infinity pool,2060465,George,,Μυκόνου (Μykonos),37.4322,25.30436,Entire home/apt,485,2,21,2019-08-28,0.24,1,198
420121,Parathira Cave house 2,1284976,Laskarina,,Θήρας (Santorini),36.46087,25.37801,Entire home/apt,430,2,142,2019-09-29,1.58,6,139
422124,LUMINOUS AND COZY APARTMENT,2098507,Athas,,Ρόδου (Rhodes),36.43702,28.23614,Entire home/apt,80,4,12,2019-08-03,0.24,1,182
428630,Stay in a real cave in old winery!,643255,Veronika And Kostas,,Θήρας (Santorini),36.41205,25.44843,Entire home/apt,70,2,131,2019-09-11,1.46,3,354
428893,"Golden Sunset Villa I, amazing sea view!",2131767,Angela,,Μυκόνου (Μykonos),37.43253,25.30112,Entire home/apt,190,1,68,2019-09-04,0.77,1,214
430211,Nicolas Studios - Rooms & Studios,2138450,Nicolas,,Πάτμου (Patmos),37.33118,26.54843,Private room,60,2,4,2017-05-27,0.06,1,362
433392,Hector Cave House,2153402,Giannis,,Θήρας (Santorini),36.45974,25.37319,Entire home/apt,395,2,257,2019-09-27,2.88,4,165
435404,Magnificent villa spectacular views,2162253,Iris,,Μυκόνου (Μykonos),37.44892,25.42203,Entire home/apt,543,2,7,2019-08-16,0.11,2,213
441025,Oia Home II in the heart of Oia!,2191249,Tania,,Θήρας (Santorini),36.46134,25.37424,Entire home/apt,165,1,115,2019-09-13,1.29,9,184
446903,Sifnos ideal little dream house,2219407,Alexandra,,Σίφνου (Sifnos),36.97148,24.73155,Entire home/apt,90,4,27,2019-09-03,0.36,1,363
452319,Andromeda Infinity Pool Villa with Amazing View,663967,Nikolas,,Μυκόνου (Μykonos),37.48322,25.31336,Entire home/apt,375,2,33,2019-09-20,0.44,8,12
454665,"Beachfront Villa Maria, Golden Beach, Paros",2248079,Elina,,Πάρου (Paros),37.01065,25.24619,Entire home/apt,250,5,21,2019-08-11,0.33,1,365
