,beds,guests,bedrooms,baths,bath,bedroom,bed,half-bath
https://www.airbnb.com/rooms/13247444,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13263102,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/13266568,0,4,0,0,1,1,1,0
https://www.airbnb.com/rooms/13276207,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/1327815,2,4,2,0,1,0,0,0
https://www.airbnb.com/rooms/13281069,2,4,2,0,1,0,0,0
https://www.airbnb.com/rooms/1328484,4,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/13285684,2,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/13295271,0,4,0,0,1,1,1,0
https://www.airbnb.com/rooms/13306878,2,4,2,2,0,0,0,0
https://www.airbnb.com/rooms/13313766,6,6,2,2,0,0,0,0
https://www.airbnb.com/rooms/13331010,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/13331611,0,3,0,0,1,1,1,0
https://www.airbnb.com/rooms/13336661,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/13339056,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13351680,0,7,0,2,0,1,1,0
https://www.airbnb.com/rooms/13352915,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/13358703,2,5,2,3,0,0,0,0
https://www.airbnb.com/rooms/13363861,2,3,0,0,0,1,0,0
https://www.airbnb.com/rooms/13364645,2,4,0,0,0,1,0,0
https://www.airbnb.com/rooms/13365903,0,3,0,0,1,1,1,0
https://www.airbnb.com/rooms/13391053,0,2,0,1.5,0,1,1,0
https://www.airbnb.com/rooms/13391419,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13407732,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13424644,7,9,4,3,0,0,0,0
https://www.airbnb.com/rooms/13426965,7,7,3,2,0,0,0,0
https://www.airbnb.com/rooms/13431323,3,6,2,2,0,0,0,0
https://www.airbnb.com/rooms/13443,3,5,2,3,0,0,0,0
https://www.airbnb.com/rooms/13456723,7,8,0,2.5,0,1,0,0
https://www.airbnb.com/rooms/1345950,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13459562,4,4,0,0,1,0,0,0
https://www.airbnb.com/rooms/13464711,6,10,4,6,0,0,0,0
https://www.airbnb.com/rooms/13469747,2,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/13471990,4,6,3,2,0,0,0,0
https://www.airbnb.com/rooms/13475217,2,2,0,0,1,0,0,0
https://www.airbnb.com/rooms/13475561,4,4,0,0,1,0,0,0
https://www.airbnb.com/rooms/13487782,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13491839,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/13492588,2,3,0,2,0,1,0,0
https://www.airbnb.com/rooms/13498789,0,3,0,0,1,1,1,0
https://www.airbnb.com/rooms/13502643,0,2,0,0,0,1,1,0
https://www.airbnb.com/rooms/13504427,2,4,2,0,1,0,0,0
https://www.airbnb.com/rooms/13510446,0,3,0,0,1,1,1,0
https://www.airbnb.com/rooms/135198,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/13527253,6,6,3,2,0,0,0,0
https://www.airbnb.com/rooms/13534964,0,4,0,0,1,1,1,0
https://www.airbnb.com/rooms/13538508,0,4,0,1.5,0,1,1,0
https://www.airbnb.com/rooms/13584834,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13585616,3,4,0,1.5,0,1,0,0
https://www.airbnb.com/rooms/13586247,4,6,2,2,0,0,0,0
https://www.airbnb.com/rooms/13587040,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/135874,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/1359290,0,2,0,0,1,1,1,0
